alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 140, 295, 478, 456, 540, 1629, 1428, 1496, 1905, 2685, 383
0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 135, 301, 504, 478, 547, 1690, 1361, 1461, 1927, 2942, 318
0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 139, 290, 475, 417, 460, 1289, 1602, 1481, 1896, 2411, 338
0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 133, 285, 477, 504, 570, 1698, 1222, 1499, 2029, 2778, 350
0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 147, 299, 447, 382, 504, 1732, 1393, 1512, 2108, 2876, 356
0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 150, 268, 483, 471, 475, 1662, 1311, 1424, 1835, 3063, 305
0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 145, 290, 499, 396, 516, 1583, 1254, 1391, 1650, 2459, 272
0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 134, 285, 476, 408, 521, 1753, 1338, 1426, 1995, 2654, 332
0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 146, 276, 489, 451, 596, 1588, 1361, 1373, 1637, 2417, 360
0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 145, 279, 525, 439, 531, 1494, 1433, 1338, 2044, 2880, 315
