alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 28, 141, 121, 114, 107, 150, 117, 111, 103, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 28, 142, 121, 117, 107, 150, 117, 112, 109, 103, 123
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 120, 114, 107, 150, 117, 115, 102, 98, 123
0, 7, 11, 11, 10, 16, 15, 17, 12, 33, 27, 141, 122, 114, 110, 150, 118, 112, 111, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 120, 106, 107, 150, 115, 115, 111, 98, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 117, 105, 107, 149, 117, 103, 111, 103, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 27, 141, 121, 117, 109, 150, 118, 112, 103, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 116, 114, 107, 149, 118, 108, 111, 103, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 121, 114, 107, 150, 117, 111, 111, 102, 117
0, 7, 11, 11, 10, 16, 15, 17, 12, 35, 29, 141, 121, 114, 107, 150, 117, 115, 103, 102, 125
