alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 80, 206, 345, 506, 356, 1761, 1397, 1449, 1536, 3480, 240
0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 88, 198, 367, 428, 339, 1489, 1118, 1242, 1444, 3496, 265
0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 83, 201, 387, 491, 350, 1530, 1136, 1467, 1557, 3013, 236
0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 89, 181, 344, 414, 341, 1310, 1262, 1346, 1000, 3283, 250
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 88, 171, 376, 398, 344, 1348, 1396, 1288, 928, 3092, 252
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 91, 193, 386, 377, 319, 1460, 1203, 1423, 1038, 3338, 237
0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 77, 192, 352, 454, 378, 1522, 1425, 1202, 1388, 3321, 227
0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 88, 193, 403, 468, 326, 1004, 1293, 1307, 1127, 3178, 247
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 95, 207, 356, 496, 375, 1507, 1266, 1287, 1000, 3264, 258
0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 81, 193, 371, 433, 341, 1313, 1281, 1085, 1659, 3437, 263
