alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 118, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 110, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 119, 111, 151, 119, 115, 110, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 118, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 119, 111, 151, 119, 115, 111, 102, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 111, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 110, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 111, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 150, 119, 115, 111, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 110, 152, 119, 115, 110, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 110, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 109, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 122, 117, 111, 150, 119, 115, 110, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 150, 119, 115, 110, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 151, 119, 115, 109, 102, 127
0.1, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 122, 117, 111, 149, 119, 115, 110, 102, 126
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 118, 117, 110, 149, 119, 113, 111, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 116, 117, 111, 149, 119, 115, 111, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 122, 117, 110, 149, 119, 115, 110, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 141, 121, 117, 111, 151, 119, 115, 111, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 117, 117, 110, 147, 119, 115, 111, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 118, 117, 110, 150, 119, 115, 111, 102, 126
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 142, 117, 116, 110, 151, 119, 115, 111, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 116, 117, 111, 151, 119, 115, 110, 102, 127
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 120, 117, 111, 150, 119, 115, 111, 102, 125
0.2, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 118, 119, 110, 152, 119, 115, 110, 101, 127
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 119, 117, 109, 150, 119, 112, 110, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 118, 118, 108, 147, 119, 115, 111, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 117, 116, 111, 147, 119, 115, 111, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 118, 117, 109, 151, 118, 115, 111, 103, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 118, 117, 107, 149, 118, 112, 110, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 117, 117, 109, 149, 117, 115, 110, 100, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 144, 117, 117, 107, 149, 118, 112, 110, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 117, 117, 109, 150, 119, 115, 111, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 118, 117, 109, 147, 118, 115, 111, 102, 125
0.3, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 117, 117, 111, 150, 117, 115, 111, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 115, 117, 108, 150, 119, 115, 111, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 119, 117, 108, 149, 117, 112, 111, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 143, 114, 115, 107, 148, 118, 115, 110, 101, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 142, 119, 117, 107, 151, 117, 115, 111, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 117, 117, 108, 150, 116, 115, 111, 101, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 143, 117, 117, 102, 148, 117, 115, 111, 102, 127
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 117, 117, 108, 151, 119, 115, 110, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 120, 117, 107, 148, 117, 115, 109, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 117, 117, 110, 147, 119, 115, 110, 102, 125
0.4, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 143, 118, 114, 107, 150, 117, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 138, 119, 116, 108, 150, 118, 115, 111, 101, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 142, 116, 117, 107, 147, 117, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 142, 118, 115, 107, 150, 118, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 142, 116, 117, 107, 149, 118, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 143, 115, 117, 107, 147, 117, 115, 111, 101, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 142, 117, 114, 109, 150, 114, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 143, 117, 117, 107, 147, 117, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 140, 121, 114, 107, 149, 117, 115, 110, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 141, 115, 116, 105, 150, 117, 115, 111, 102, 125
0.5, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 142, 115, 117, 107, 149, 114, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 140, 119, 117, 107, 151, 117, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 29, 143, 117, 117, 105, 151, 117, 115, 110, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 140, 117, 117, 107, 151, 117, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 141, 117, 117, 108, 150, 117, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 29, 142, 117, 114, 107, 147, 118, 115, 111, 103, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 144, 117, 117, 102, 147, 118, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 142, 115, 117, 103, 150, 115, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 143, 116, 117, 105, 151, 117, 115, 110, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 35, 30, 143, 117, 117, 107, 147, 118, 115, 111, 102, 125
0.6, 8, 11, 11, 10, 16, 15, 17, 12, 34, 30, 140, 117, 117, 107, 145, 114, 115, 111, 102, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 143, 117, 116, 103, 150, 117, 115, 110, 101, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 119, 117, 102, 150, 117, 115, 111, 103, 125
0.7, 7, 11, 11, 10, 16, 15, 17, 13, 33, 30, 142, 117, 117, 108, 150, 117, 115, 111, 102, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 143, 118, 117, 103, 150, 118, 115, 111, 103, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 143, 117, 115, 102, 150, 114, 115, 111, 101, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 142, 118, 117, 107, 147, 117, 115, 111, 102, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 143, 118, 115, 107, 149, 118, 115, 110, 102, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 143, 118, 117, 107, 148, 117, 115, 110, 101, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 116, 117, 105, 147, 118, 112, 110, 101, 125
0.7, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 144, 119, 117, 108, 147, 117, 115, 110, 99, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 144, 117, 116, 102, 150, 118, 115, 111, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 144, 115, 117, 107, 145, 117, 115, 111, 103, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 144, 115, 117, 102, 150, 115, 115, 111, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 141, 117, 117, 107, 150, 118, 115, 111, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 141, 117, 114, 107, 147, 114, 115, 111, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 117, 116, 102, 150, 118, 115, 111, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 141, 117, 117, 107, 147, 117, 115, 111, 99, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 116, 117, 102, 147, 117, 115, 110, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 142, 118, 117, 107, 147, 115, 115, 111, 102, 125
0.8, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 142, 115, 117, 102, 149, 118, 115, 110, 99, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 140, 116, 117, 107, 145, 118, 115, 111, 102, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 117, 115, 107, 150, 117, 115, 109, 102, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 144, 117, 117, 105, 147, 118, 115, 111, 102, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 116, 118, 107, 147, 117, 115, 111, 102, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 117, 117, 105, 147, 116, 115, 111, 102, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 142, 116, 117, 107, 149, 117, 112, 111, 103, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 117, 117, 105, 150, 117, 115, 111, 103, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 142, 117, 117, 103, 147, 117, 115, 111, 103, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 143, 117, 117, 102, 147, 114, 115, 110, 100, 125
0.9, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 142, 113, 117, 107, 147, 118, 115, 111, 99, 125
1, 8, 11, 11, 10, 16, 15, 17, 13, 35, 30, 143, 115, 116, 102, 144, 118, 115, 111, 102, 125
1, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 143, 117, 117, 107, 147, 114, 115, 111, 102, 125
1, 8, 11, 11, 10, 16, 15, 17, 13, 35, 30, 143, 114, 117, 102, 147, 117, 115, 110, 102, 125
1, 8, 11, 11, 10, 16, 14, 17, 13, 34, 29, 143, 117, 114, 107, 150, 118, 115, 111, 102, 125
1, 8, 11, 11, 9, 16, 15, 17, 13, 33, 29, 143, 114, 117, 107, 149, 118, 115, 111, 102, 125
1, 7, 11, 11, 10, 16, 15, 17, 13, 35, 28, 142, 117, 114, 107, 150, 116, 115, 111, 102, 125
1, 8, 11, 11, 10, 16, 15, 17, 13, 34, 30, 144, 117, 117, 102, 148, 114, 115, 111, 102, 125
1, 8, 11, 11, 9, 16, 15, 17, 13, 34, 29, 143, 116, 117, 107, 150, 114, 115, 109, 102, 125
1, 8, 11, 11, 10, 16, 15, 17, 13, 34, 29, 142, 117, 115, 102, 147, 118, 115, 111, 100, 125
1, 8, 11, 11, 10, 16, 14, 17, 13, 33, 28, 142, 117, 115, 107, 147, 118, 113, 111, 102, 125
