alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 6, 16, 8, 50, 16, 29, 40, 54, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 5, 14, 8, 53, 18, 29, 41, 53, 12
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 5, 20, 8, 53, 16, 32, 40, 51, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 7, 14, 8, 41, 15, 31, 25, 52, 10
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 5, 19, 9, 54, 15, 29, 30, 52, 10
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 5, 28, 8, 42, 13, 36, 32, 56, 9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 6, 16, 8, 46, 19, 33, 38, 53, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 8, 18, 8, 45, 18, 37, 21, 53, 12
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 7, 20, 10, 53, 13, 37, 31, 59, 7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 6, 15, 8, 57, 18, 34, 45, 56, 7
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14, 17, 58, 32, 134, 49, 141, 119, 158, 18
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12, 18, 58, 18, 165, 52, 62, 130, 118, 9
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15, 14, 25, 18, 182, 54, 96, 223, 166, 17
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12, 15, 31, 17, 112, 61, 122, 101, 199, 18
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12, 18, 45, 25, 129, 44, 84, 124, 135, 15
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10, 15, 24, 26, 179, 54, 119, 233, 241, 21
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9, 15, 28, 16, 180, 47, 90, 176, 239, 15
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10, 21, 28, 27, 154, 49, 116, 98, 77, 11
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10, 17, 33, 20, 177, 32, 61, 78, 157, 16
0.1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10, 18, 43, 22, 171, 35, 150, 124, 137, 21
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19, 31, 45, 74, 150, 43, 101, 287, 117, 17
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15, 28, 29, 53, 319, 39, 50, 109, 90, 14
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18, 28, 30, 23, 91, 38, 74, 165, 127, 17
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12, 57, 46, 22, 171, 47, 64, 148, 134, 13
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30, 21, 23, 25, 155, 46, 105, 162, 68, 13
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24, 45, 38, 29, 169, 78, 136, 184, 170, 37
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27, 81, 53, 69, 368, 67, 110, 192, 179, 13
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18, 26, 36, 33, 103, 40, 52, 146, 65, 19
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15, 32, 49, 66, 272, 58, 81, 200, 160, 25
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 30, 59, 27, 37, 93, 43, 95, 151, 195, 43
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 34, 45, 42, 82, 402, 201, 92, 210, 57, 16
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21, 40, 53, 69, 423, 124, 92, 378, 197, 26
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28, 73, 60, 98, 300, 275, 169, 211, 109, 16
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37, 72, 70, 72, 476, 202, 156, 358, 206, 27
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 28, 59, 77, 31, 275, 142, 61, 111, 134, 17
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20, 47, 29, 59, 134, 120, 103, 128, 127, 14
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35, 32, 24, 30, 104, 81, 68, 123, 110, 14
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15, 25, 22, 40, 151, 93, 70, 181, 136, 25
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 36, 68, 46, 53, 192, 174, 181, 227, 226, 13
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24, 44, 63, 41, 169, 130, 110, 159, 131, 15
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 22, 30, 42, 42, 227, 124, 108, 174, 139, 13
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16, 67, 40, 120, 235, 111, 118, 236, 98, 14
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 21, 32, 25, 44, 170, 85, 108, 136, 120, 16
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16, 30, 27, 39, 163, 103, 105, 111, 111, 16
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 20, 55, 36, 39, 200, 142, 88, 143, 61, 16
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 18, 37, 47, 29, 134, 124, 101, 118, 78, 17
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17, 23, 46, 29, 123, 103, 182, 114, 110, 14
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 39, 58, 38, 34, 133, 84, 108, 97, 109, 13
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 17, 38, 39, 59, 200, 293, 140, 110, 90, 15
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 19, 33, 28, 33, 257, 134, 117, 157, 175, 15
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 17, 54, 48, 45, 114, 263, 96, 128, 128, 13
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32, 31, 30, 56, 141, 106, 97, 186, 89, 16
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 27, 26, 25, 49, 402, 96, 103, 164, 112, 15
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15, 29, 47, 59, 145, 138, 109, 131, 92, 15
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 28, 32, 47, 57, 187, 125, 125, 134, 190, 13
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15, 46, 28, 37, 135, 116, 131, 141, 273, 12
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 22, 44, 44, 38, 154, 94, 152, 268, 197, 16
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31, 32, 30, 72, 250, 127, 146, 203, 236, 12
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25, 35, 50, 39, 240, 180, 172, 159, 242, 17
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 26, 33, 25, 55, 121, 87, 175, 182, 142, 15
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 24, 40, 32, 68, 289, 139, 129, 187, 208, 17
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 27, 29, 27, 52, 217, 173, 115, 189, 233, 14
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22, 22, 62, 34, 170, 171, 207, 284, 228, 15
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16, 39, 50, 64, 113, 95, 95, 185, 152, 19
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 18, 30, 26, 63, 121, 194, 150, 176, 211, 15
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32, 55, 37, 35, 118, 96, 117, 146, 125, 16
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 18, 33, 26, 31, 220, 96, 130, 205, 183, 15
0.6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 19, 31, 36, 37, 136, 173, 97, 241, 160, 13
