alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 143, 122, 115, 109, 146, 119, 112, 109, 101, 125
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 143, 119, 117, 96, 150, 118, 110, 109, 101, 125
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 142, 122, 115, 103, 151, 117, 112, 107, 101, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 141, 122, 115, 111, 148, 119, 112, 110, 101, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 141, 119, 116, 111, 151, 119, 112, 102, 101, 125
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 142, 119, 117, 111, 151, 119, 110, 110, 101, 127
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 140, 117, 114, 111, 151, 119, 110, 110, 101, 120
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 137, 122, 117, 107, 149, 119, 110, 107, 102, 125
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 141, 122, 117, 110, 149, 119, 110, 109, 102, 125
0, 8, 11, 11, 10, 16, 15, 17, 12, 35, 29, 141, 113, 115, 109, 149, 115, 112, 111, 101, 125
