alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 142, 121, 114, 110, 150, 118, 112, 107, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 142, 120, 117, 109, 150, 118, 115, 109, 101, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 142, 120, 114, 108, 150, 118, 111, 108, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 116, 117, 108, 150, 118, 111, 111, 91, 119
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 142, 120, 117, 110, 150, 119, 111, 108, 101, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 120, 117, 108, 150, 118, 115, 108, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 120, 117, 109, 150, 119, 112, 108, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 35, 29, 141, 121, 117, 111, 150, 113, 112, 111, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 120, 117, 110, 150, 117, 115, 111, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 121, 114, 110, 150, 118, 111, 111, 102, 120
