alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 83, 227, 415, 569, 324, 2138, 1087, 1166, 674, 3929, 339
0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 89, 191, 458, 567, 380, 1780, 1155, 979, 1556, 2155, 359
0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 85, 210, 421, 619, 372, 1768, 1202, 1070, 673, 4115, 390
0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 85, 192, 440, 481, 386, 2240, 1215, 1082, 1222, 2715, 404
0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 87, 211, 344, 561, 343, 2325, 648, 1093, 648, 1989, 341
0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 87, 237, 358, 569, 369, 2212, 1188, 1547, 638, 4674, 345
0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 87, 192, 338, 532, 398, 1911, 541, 677, 836, 4293, 318
0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 92, 203, 370, 559, 343, 2316, 1893, 1484, 1010, 4274, 306
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 91, 199, 377, 558, 336, 2620, 1077, 1277, 1092, 4053, 369
0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 84, 217, 320, 473, 350, 2383, 1128, 1550, 1301, 3876, 303
