alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 7, 11, 11, 10, 16, 15, 16, 12, 34, 29, 135, 121, 112, 107, 147, 118, 108, 104, 102, 119
0, 7, 11, 11, 10, 16, 15, 16, 12, 34, 28, 141, 117, 114, 108, 150, 118, 108, 104, 102, 119
0, 7, 11, 11, 10, 16, 15, 16, 12, 33, 29, 141, 117, 114, 107, 150, 118, 108, 111, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 141, 121, 114, 107, 147, 118, 111, 111, 102, 119
0, 7, 11, 11, 10, 16, 14, 16, 12, 34, 28, 141, 121, 114, 108, 149, 118, 111, 111, 98, 125
0, 7, 11, 11, 10, 16, 15, 16, 12, 32, 27, 141, 121, 114, 107, 150, 118, 108, 104, 102, 124
0, 7, 11, 11, 10, 16, 15, 16, 12, 32, 29, 134, 121, 107, 107, 150, 113, 115, 104, 102, 119
0, 7, 11, 11, 10, 16, 15, 16, 12, 34, 28, 141, 121, 115, 107, 149, 118, 111, 104, 102, 125
0, 7, 11, 11, 10, 16, 15, 17, 12, 34, 29, 134, 117, 114, 108, 150, 118, 111, 104, 102, 125
0, 7, 11, 11, 10, 16, 15, 16, 12, 33, 29, 141, 121, 114, 107, 147, 118, 108, 104, 102, 119
