alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 83, 182, 314, 439, 322, 1466, 1236, 1331, 1376, 2989, 253
0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 80, 199, 362, 499, 324, 1580, 1151, 1013, 1516, 3202, 238
0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 81, 180, 375, 428, 353, 1509, 1133, 1337, 970, 2859, 199
0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 72, 188, 345, 391, 298, 1297, 1198, 1201, 1006, 3087, 224
0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 81, 187, 327, 434, 345, 1186, 1135, 1270, 993, 2616, 231
0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 74, 173, 353, 402, 330, 1405, 1339, 1248, 1361, 3364, 229
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 74, 190, 337, 436, 310, 1466, 1563, 1097, 1333, 3286, 214
0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 62, 197, 318, 401, 360, 1283, 1257, 1095, 1229, 3278, 220
0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 71, 202, 360, 468, 305, 1304, 936, 991, 1309, 3105, 216
0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 68, 201, 321, 386, 338, 1491, 1325, 1195, 1231, 3171, 243
