alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 7, 8, 8, 8, 12, 12, 13, 9, 31, 26, 121, 104, 102, 87, 145, 113, 100, 104, 84, 109
0, 7, 11, 8, 8, 12, 14, 15, 11, 31, 27, 116, 109, 102, 103, 143, 112, 104, 101, 99, 116
0, 7, 11, 8, 8, 12, 12, 16, 13, 29, 26, 123, 101, 83, 95, 131, 117, 100, 109, 99, 115
0, 7, 11, 8, 9, 12, 14, 13, 10, 31, 26, 125, 99, 103, 96, 134, 106, 112, 103, 98, 116
0, 7, 8, 8, 8, 12, 14, 13, 11, 32, 26, 115, 101, 114, 89, 139, 113, 106, 97, 86, 121
0, 6, 11, 8, 8, 16, 15, 13, 10, 32, 24, 131, 102, 80, 95, 131, 108, 100, 103, 99, 115
0, 6, 10, 8, 9, 12, 15, 16, 9, 29, 25, 126, 104, 110, 84, 141, 113, 97, 96, 94, 115
0, 6, 11, 8, 8, 16, 12, 13, 9, 27, 26, 133, 112, 108, 87, 137, 103, 99, 104, 93, 118
0, 7, 8, 8, 9, 16, 12, 13, 10, 30, 26, 120, 110, 117, 89, 137, 107, 94, 109, 87, 119
0, 7, 10, 10, 8, 12, 14, 13, 9, 31, 25, 122, 117, 109, 102, 142, 113, 100, 103, 98, 118
