alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28, 31, 64, 74, 79, 218, 170, 199, 298, 318, 43
0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 44, 57, 71, 82, 235, 182, 193, 206, 504, 43
0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 44, 48, 62, 81, 191, 145, 217, 286, 483, 43
0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 43, 49, 60, 81, 225, 139, 160, 253, 443, 45
0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 48, 46, 69, 91, 206, 172, 165, 296, 286, 41
0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 49, 37, 69, 73, 173, 234, 203, 264, 471, 49
0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 44, 49, 73, 88, 219, 196, 180, 264, 472, 45
0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 37, 58, 63, 76, 160, 142, 215, 281, 483, 47
0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 27, 45, 44, 75, 88, 161, 217, 199, 243, 216, 44
0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 48, 58, 76, 68, 193, 163, 176, 224, 475, 40
