alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 6, 8, 8, 8, 10, 10, 13, 6, 27, 20, 109, 99, 93, 78, 135, 97, 87, 95, 80, 106
0, 6, 8, 11, 8, 10, 10, 9, 10, 24, 20, 109, 96, 100, 76, 140, 100, 87, 89, 84, 106
0, 6, 8, 8, 8, 14, 12, 11, 12, 28, 23, 108, 96, 98, 81, 140, 101, 87, 88, 80, 106
0, 6, 8, 8, 8, 8, 8, 13, 9, 25, 20, 107, 94, 89, 75, 135, 108, 86, 88, 93, 106
0, 6, 8, 8, 8, 8, 10, 14, 12, 25, 20, 115, 96, 101, 79, 140, 101, 84, 94, 87, 106
0, 7, 11, 11, 8, 10, 14, 12, 11, 24, 20, 115, 101, 95, 90, 140, 97, 86, 95, 93, 106
0, 6, 8, 8, 8, 12, 8, 11, 10, 27, 20, 109, 91, 100, 79, 132, 98, 84, 94, 87, 106
0, 7, 8, 8, 8, 10, 12, 13, 8, 25, 24, 109, 94, 106, 67, 133, 106, 80, 89, 86, 106
0, 6, 10, 8, 8, 8, 8, 13, 8, 27, 20, 108, 95, 96, 73, 135, 113, 99, 88, 88, 106
0, 6, 8, 8, 9, 12, 10, 13, 8, 27, 20, 100, 94, 100, 81, 132, 94, 99, 88, 93, 106
