alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 1, 0, 594, 3392, 4683, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 0, 0, 584, 3874, 4341, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 662, 3801, 4806, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 608, 3804, 4905, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 625, 3785, 4484, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 661, 3811, 4239, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 628, 3622, 4169, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 0, 0, 698, 4008, 4390, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 727, 3988, 4558, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
0, 0, 0, 0, 0, 0, 0, 1, 0, 626, 3832, 4331, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000
